法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
政令,昭和四十一年政令第三百八十四号,古都における歴史的風土の保存に関する特別措置法施行令,ことにおけるれきしてきふうどのほぞんにかんするとくべつそちほうせこうれい,,昭和四十一年十二月二十三日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000384,https://elaws.e-gov.go.jp/document?lawid=341CO0000000384_20150801_000000000000000,,
政令,昭和四十一年政令第三百八十七号,製菓衛生師法施行令,せいかえいせいしほうせこうれい,,昭和四十一年十二月二十四日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000387,https://elaws.e-gov.go.jp/document?lawid=341CO0000000387_20150801_000000000000000,,
政令,昭和四十一年政令第三百九十四号,執行官国庫補助基準額令,しっこうかんこっこほじょきじゅんがくれい,,昭和四十一年十二月二十八日,平成２７年８月１日（基準日）現在のデータ,,,,,341CO0000000394,https://elaws.e-gov.go.jp/document?lawid=341CO0000000394_20150801_000000000000000,,
府省令,昭和四十一年総理府令第二号,人事記録の記載事項等に関する内閣官房令,じんじきろくのきさいじこうとうにかんするないかくかんぼうれい,,昭和四十一年二月十日,寒冷地手当支給規則等の一部を改正する内閣官房令,令和二年内閣官房令第四号,令和二年六月十二日,令和二年六月十二日,,341M50000002002,https://elaws.e-gov.go.jp/document?lawid=341M50000002002_20200612_502M60000001004,,
府省令,昭和四十一年総理府令第三号,人事統計報告に関する内閣官房令,じんじとうけいほうこくにかんするないかくかんぼうれい,,昭和四十一年二月十日,寒冷地手当支給規則等の一部を改正する内閣官房令,令和二年内閣官房令第四号,令和二年六月十二日,令和二年六月十二日,,341M50000002003,https://elaws.e-gov.go.jp/document?lawid=341M50000002003_20200612_502M60000001004,,
府省令,昭和四十一年総理府令第五号,職員の兼業の許可に関する内閣官房令,しょくいんのけんぎょうのきょかにかんするないかくかんぼうれい,,昭和四十一年二月十日,職員の兼業の許可に関する内閣官房令の一部を改正する内閣官房令,令和二年内閣官房令第一号,令和二年一月三十一日,令和二年一月三十一日,,341M50000002005,https://elaws.e-gov.go.jp/document?lawid=341M50000002005_20200131_502M60000001001,,
府省令,昭和四十一年総理府令第六号,旧軍人であつた自衛官の退職手当に係る在職期間の計算に関する総理府令,きゅうぐんじんであつたじえいかんのたいしょくてあてにかかるざいしょくきかんのけいさんにかんするそうりふれい,,昭和四十一年三月一日,平成２９年４月１日（基準日）現在のデータ,,,,,341M50000002006,https://elaws.e-gov.go.jp/document?lawid=341M50000002006_20170401_000000000000000,,
府省令,昭和四十一年総理府令第十二号,土地分類調査作業規程準則,とちぶんるいちょうささぎょうきていじゅんそく,,昭和四十一年三月二十六日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000002012,https://elaws.e-gov.go.jp/document?lawid=341M50000002012_20161001_000000000000000,,
府省令,昭和四十一年総理府令第三十七号,核燃料物質の加工の事業に関する規則,かくねんりょうぶっしつのかこうのじぎょうにかんするきそく,,昭和四十一年七月十九日,原子力利用における安全対策の強化のための核原料物質、核燃料物質及び原子炉の規制に関する法律等の一部を改正する法律の一部の施行に伴う試験研究用等原子炉施設等に係る原子力規制委員会関係規則の整備等に関する規則,令和二年原子力規制委員会規則第十二号,令和二年三月十七日,令和二年四月一日,,341M50000002037,https://elaws.e-gov.go.jp/document?lawid=341M50000002037_20200401_502M60080000012,,
府省令,昭和四十一年総理府令第四十六号,猟銃用火薬類等の譲渡、譲受け、輸入及び消費に関する内閣府令,りょうじゅうようかやくるいとうのじょうと、ゆずるうけ、ゆにゅうおよびしょうひにかんするないかくふれい,,昭和四十一年九月七日,猟銃用火薬類等の譲渡、譲受け、輸入及び消費に関する内閣府令の一部を改正する内閣府令,令和元年内閣府令第三十九号,令和元年十一月七日,令和元年十二月七日,,341M50000002046,https://elaws.e-gov.go.jp/document?lawid=341M50000002046_20191207_501M60000002039,,
府省令,昭和四十一年総理府令第四十九号,防衛省職員の災害補償に関する省令,ぼうえいしょうしょくいんのさいがいほしょうにかんするしょうれい,,昭和四十一年九月十日,防衛大学校、防衛医科大学校、防衛研究所及び防衛監察本部組織規則等の一部を改正する省令,平成三十年防衛省令第三号,平成三十年三月三十日,平成三十年四月一日,,341M50000002049,https://elaws.e-gov.go.jp/document?lawid=341M50000002049_20180401_430M60002000003,,
府省令,昭和四十一年自治省令第二号,石油ガス譲与税法施行規則,せきゆがすじょうよぜいほうせこうきそく,,昭和四十一年二月十五日,平成２９年６月１日（基準日）現在のデータ,,平成二十九年六月一日,,,341M50000008002,https://elaws.e-gov.go.jp/document?lawid=341M50000008002_20170601_999M50000008002,,
府省令,昭和四十一年自治省令第二十八号,首都圏、近畿圏及び中部圏の近郊整備地帯等の整備のための国の財政上の特別措置に関する法律施行規則,しゅとけん、きんきけんおよびちゅうぶけんのきんこうせいびちたいとうのせいびのためのくにのざいせいじょうのとくべつそちにかんするほうりつせこうきそく,,昭和四十一年十一月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000008028,https://elaws.e-gov.go.jp/document?lawid=341M50000008028_20161001_000000000000000,,
府省令,昭和四十一年大蔵省令第四号,石油ガス税法施行規則,せきゆがすぜいほうせこうきそく,,昭和四十一年一月二十四日,石油ガス税法施行規則の一部を改正する省令,平成三十年財務省令第二十二号,平成三十年三月三十一日,平成三十年四月一日,,341M50000040004,https://elaws.e-gov.go.jp/document?lawid=341M50000040004_20180401_430M60000040022,,
府省令,昭和四十一年大蔵省令第十九号,とん税の納付書の様式を定める省令,とんぜいののうふしょのようしきをさだめるしょうれい,,昭和四十一年三月三十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000040019,https://elaws.e-gov.go.jp/document?lawid=341M50000040019_20161001_000000000000000,,
府省令,昭和四十一年大蔵省令第三十五号,地震保険に関する法律施行規則,じしんほけんにかんするほうりつせこうきそく,,昭和四十一年六月一日,元号を改める政令の施行に伴う財務省関係省令の整理に関する省令,令和元年財務省令第一号,令和元年五月七日,令和元年五月七日,,341M50000040035,https://elaws.e-gov.go.jp/document?lawid=341M50000040035_20190507_501M60000040001,,
府省令,昭和四十一年大蔵省令第四十三号,戦傷病者等の妻に対する特別給付金支給法第四条第二項の規定により発行する国債の発行交付等に関する省令,せんしょうびょうしゃとうのつまにたいするとくべつきゅうふきんしきゅうほうだいよんじょうだいにこうのきていによりはっこうするこくさいのはっこうこうふとうにかんするしょうれい,,昭和四十一年七月一日,政府所有有価証券取扱規程等の一部を改正する省令,令和元年財務省令第十号,令和元年六月二十六日,令和元年七月一日,,341M50000040043,https://elaws.e-gov.go.jp/document?lawid=341M50000040043_20190701_501M60000040010,,
府省令,昭和四十一年大蔵省令第四十四号,日本銀行の国債元利金の支払等の特別取扱手続に関する省令,にほんぎんこうのこくさいがんりきんのしはらいとうのとくべつとりあつかいてつづきにかんするしょうれい,,昭和四十一年七月八日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000040044,https://elaws.e-gov.go.jp/document?lawid=341M50000040044_20161001_000000000000000,,
府省令,昭和四十一年大蔵省令第五十二号,アジア開発銀行への加盟に伴う国債の発行等に関する省令,あじあかいはつぎんこうへのかめいにともなうこくさいのはっこうとうにかんするしょうれい,,昭和四十一年九月七日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000040052,https://elaws.e-gov.go.jp/document?lawid=341M50000040052_20161001_000000000000000,,
府省令,昭和四十一年大蔵省令第五十五号,関税法施行規則,かんぜいほうせこうきそく,,昭和四十一年九月二十八日,関税法施行規則の一部を改正する省令,令和元年財務省令第十二号,令和元年六月二十八日,令和元年九月三十日,,341M50000040055,https://elaws.e-gov.go.jp/document?lawid=341M50000040055_20190930_501M60000040012,,
府省令,昭和四十一年大蔵省令第五十五号,関税法施行規則,かんぜいほうせこうきそく,,昭和四十一年九月二十八日,関税法施行規則の一部を改正する省令,令和二年財務省令第五十八号,令和二年七月八日,令和二年十二月一日,,341M50000040055,https://elaws.e-gov.go.jp/document?lawid=341M50000040055_20201201_502M60000040058,○,
府省令,昭和四十一年大蔵省令第五十九号,戦没者等の遺族に対する特別弔慰金支給法施行令第一条第一項第三号に規定する担保権者を定める省令,せんぼつしゃとうのいぞくにたいするとくべつちょういきんしきゅうほうせこうれいだいいちじょうだいいっこうだいさんごうにきていするたんぽごんじゃをさだめるしょうれい,,昭和四十一年十月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000040059,https://elaws.e-gov.go.jp/document?lawid=341M50000040059_20161001_000000000000000,,
府省令,昭和四十一年文部省令第二号,特別支援学校の高等部の学科を定める省令,とくべつしえんがっこうのこうとうぶのがっかをさだめるしょうれい,,昭和四十一年二月二十一日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000080002,https://elaws.e-gov.go.jp/document?lawid=341M50000080002_20161001_000000000000000,,
府省令,昭和四十一年文部省令第三十六号,就学義務猶予免除者等の中学校卒業程度認定規則,しゅうがくぎむゆうよめんじょものとうのちゅうがっこうそつぎょうていどにんていきそく,,昭和四十一年七月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000080036,https://elaws.e-gov.go.jp/document?lawid=341M50000080036_20161001_000000000000000,,
府省令,昭和四十一年厚生省令第一号,毒物又は劇物を含有する物の定量方法を定める省令,どくぶつまたはげきものをがんゆうするもののていりょうほうほうをさだめるしょうれい,,昭和四十一年一月八日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100001,https://elaws.e-gov.go.jp/document?lawid=341M50000100001_20190701_501M60000100020,,
府省令,昭和四十一年厚生省令第十八号,救護施設、更生施設、授産施設及び宿所提供施設の設備及び運営に関する基準,きゅうごしせつ、こうせいしせつ、じゅさんしせつおよびしゅくじょていきょうしせつのせつびおよびうんえいにかんするきじゅん,,昭和四十一年七月一日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000100018,https://elaws.e-gov.go.jp/document?lawid=341M50000100018_20161001_000000000000000,,
府省令,昭和四十一年厚生省令第十九号,養護老人ホームの設備及び運営に関する基準,ようごろうじんほーむのせつびおよびうんえいにかんするきじゅん,,昭和四十一年七月一日,養護老人ホームの設備及び運営に関する基準の一部を改正する省令,平成三十年厚生労働省令第百二号,平成三十年八月二日,平成三十年十月一日,,341M50000100019,https://elaws.e-gov.go.jp/document?lawid=341M50000100019_20181001_430M60000100102,,
府省令,昭和四十一年厚生省令第二十二号,戦傷病者等の妻に対する特別給付金支給法施行規則,せんしょうびょうしゃとうのつまにたいするとくべつきゅうふきんしきゅうほうせこうきそく,,昭和四十一年七月一日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100022,https://elaws.e-gov.go.jp/document?lawid=341M50000100022_20190701_501M60000100020,,
府省令,昭和四十一年厚生省令第三十号,医薬品等に使用することができるタール色素を定める省令,いやくひんとうにしようすることができるたーるしきそをさだめるしょうれい,,昭和四十一年八月三十一日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100030,https://elaws.e-gov.go.jp/document?lawid=341M50000100030_20190701_501M60000100020,,
府省令,昭和四十一年厚生省令第四十五号,製菓衛生師法施行規則,せいかえいせいしほうせこうきそく,,昭和四十一年十二月二十六日,不正競争防止法等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和元年厚生労働省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000100045,https://elaws.e-gov.go.jp/document?lawid=341M50000100045_20190701_501M60000100020,,
府省令,昭和四十一年文部省・厚生省令第二号,管理栄養士学校指定規則,かんりえいようしがっこうしていきそく,,昭和四十一年三月二日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000180002,https://elaws.e-gov.go.jp/document?lawid=341M50000180002_20161001_000000000000000,,
府省令,昭和四十一年文部省・厚生省令第三号,理学療法士作業療法士学校養成施設指定規則,りがくりょうほうしさぎょうりょうほうしがっこうようせいしせつしていきそく,,昭和四十一年三月三十日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000180003,https://elaws.e-gov.go.jp/document?lawid=341M50000180003_20161001_000000000000000,,
府省令,昭和四十一年通商産業省令第五十号,容器保安規則,ようきほあんきそく,,昭和四十一年五月二十五日,火薬類取締法施行規則等の一部を改正する省令,令和二年経済産業省令第三十七号,令和二年四月十日,令和二年四月十日,,341M50000400050,https://elaws.e-gov.go.jp/document?lawid=341M50000400050_20200410_502M60000400037,,
府省令,昭和四十一年通商産業省令第五十一号,冷凍保安規則,れいとうほあんきそく,,昭和四十一年五月二十五日,火薬類取締法施行規則等の一部を改正する省令,令和二年経済産業省令第六十号,令和二年六月二十六日,令和二年六月二十六日,,341M50000400051,https://elaws.e-gov.go.jp/document?lawid=341M50000400051_20200626_502M60000400060,,
府省令,昭和四十一年通商産業省令第五十二号,液化石油ガス保安規則,えきかせきゆがすほあんきそく,,昭和四十一年五月二十五日,火薬類取締法施行規則等の一部を改正する省令,令和二年経済産業省令第六十号,令和二年六月二十六日,令和二年六月二十六日,,341M50000400052,https://elaws.e-gov.go.jp/document?lawid=341M50000400052_20200626_502M60000400060,,
府省令,昭和四十一年通商産業省令第五十三号,一般高圧ガス保安規則,いっぱんこうあつがすほあんきそく,,昭和四十一年五月二十五日,一般高圧ガス保安規則の一部を改正する省令,令和二年経済産業省令第六十六号,令和二年八月六日,令和二年八月七日,,341M50000400053,https://elaws.e-gov.go.jp/document?lawid=341M50000400053_20200807_502M60000400066,,
府省令,昭和四十一年通商産業省令第五十四号,高圧ガス保安法に基づく高圧ガス製造保安責任者試験等に関する規則,こうあつがすほあんほうにもとづくこうあつがすせいぞうほあんせきにんしゃしけんとうにかんするきそく,,昭和四十一年五月二十五日,火薬類取締法施行規則等の一部を改正する省令,令和二年経済産業省令第六十号,令和二年六月二十六日,令和二年六月二十六日,,341M50000400054,https://elaws.e-gov.go.jp/document?lawid=341M50000400054_20200626_502M60000400060,,
府省令,昭和四十一年通商産業省令第五十五号,高圧ガス保安協会規則,こうあつがすほあんきょうかいきそく,,昭和四十一年五月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,341M50000400055,https://elaws.e-gov.go.jp/document?lawid=341M50000400055_20161001_000000000000000,,
府省令,昭和四十一年運輸省令第五十四号,小型船造船業法施行規則,こがたせんぞうせんぎょうほうせこうきそく　しょう,,昭和四十一年十月三日,不正競争防止法等の一部を改正する法律の施行に伴う国土交通省関係省令の整理等に関する省令,令和元年国土交通省令第二十号,令和元年六月二十八日,令和元年七月一日,,341M50000800054,https://elaws.e-gov.go.jp/document?lawid=341M50000800054_20190701_501M60000800020,,
